"Rank","City","ParkScore","Population according to 2020 Forecast Census block groups provided by Esri.","Median park size normalized score out of 100","Parkland as % of adjusted city area normalized score out of 100","Score for % of residents within 10-minute walk of a park","Spending/resident normalized score out of 100","Basketball hoops normalized score out of 100","Dog parks normalized score out of 100","Playgrounds normalized score out of 100","Recreation normalized score out of 100","Restrooms normalized score out of 100","Splashpads normalized score out of 100","Amenities Average <i class='fas fa-question-circle","Low-income park space ratio normalized score out of 100","People of color park space ratio normalized score out of 100","Low-income 10-minute walk normalized score out of 100","People of color 10-minute walk normalized score out of 100","Equity normalized score out of 100"
"16","St. Louis, MO","68.4","314026","17","46","97","80","34","76","40","39","75","100","61","40","58","97","97","73"
"17","Spokane, WA","66.9","220846","51","30","81","100","35","27","57","54","100","100","62","23","16","83","82","51"
"18","Denver, CO","65.7","741495","59","40","85","69","67","75","56","51","36","61","58","48","55","82","85","68"
"19","Philadelphia, PA","64.9","1595357","25","67","93","54","69","10","38","100","66","100","64","36","48","92","94","68"
"20","Kansas City, MO","63.8","511947","100","46","54","65","33","23","72","22","23","100","46","100","100","61","64","81"
"21","Pittsburgh, PA","63.3","308393","16","51","89","56","92","92","63","100","14","100","77","38","32","87","88","61"
"22","Henderson, NV","63.2","311495","49","67","50","74","100","100","40","30","100","100","78","80","50","43","49","56"
"23","Lincoln, NE","62.7","270051","65","32","87","48","100","50","74","37","100","23","64","45","43","88","87","66"
"24","Cleveland, OH","62.3","376267","33","30","75","69","92","24","58","75","29","100","63","69","71","74","77","73"
"25","Aurora, CO","62","370338","67","55","80","85","17","36","26","17","51","49","33","27","17","79","83","52"
"26","New Orleans, LA","60.7","387399","12","100","70","79","44","23","79","45","80","6","46","43","33","69","64","52"
"27","San Diego, CA","60.6","1386799","61","100","72","74","35","44","30","62","44","2","36","3","14","72","72","40"
"28","Fremont, CA","60","231450","63","100","54","62","29","87","27","31","100","13","48","22","94","51","52","55"
"29","Boise, ID","59.2","222183","65","42","47","100","24","100","53","64","100","46","65","21","11","49","43","31"
"30","Baltimore, MD","59.1","609442","3","46","81","67","31","10","49","96","16","35","40","69","100","82","82","83"
"31","Long Beach, CA","59","473299","20","49","76","90","46","85","10","85","100","1","55","1","1","81","77","40"
"31","Raleigh, NC","59","477476","55","65","35","83","75","55","26","100","62","38","59","59","100","35","36","58"
"31","Sacramento, CA","59","500868","47","47","75","57","16","100","70","46","54","100","64","44","21","68","74","52"
"34","Milwaukee, WI","58.5","588139","35","44","88","49","85","11","79","58","68","71","62","23","17","88","88","54"
"35","Des Moines, IA","58.1","228944","81","71","57","51","39","68","45","85","74","100","69","21","22","50","59","38"
"36","San Jose, CA","57.5","992256","36","83","70","45","18","46","47","63","33","79","48","52","74","65","70","65"
"37","Albuquerque, NM","57.4","551790","24","100","86","16","28","100","71","86","42","38","61","31","50","82","85","62"
"38","Buffalo, NY","56.3","260387","5","45","85","47","95","23","30","43","73","100","61","57","29","83","86","64"
"39","Omaha, NE","55.5","489887","60","66","73","33","72","24","63","37","33","85","52","31","53","66","74","56"
"40","Virginia Beach, VA","54.2","452566","44","85","44","87","43","28","68","16","66","1","37","31","44","37","42","39"
"41","Norfolk, VA","53.8","247950","18","22","63","31","100","100","100","100","17","44","77","80","100","72","61","78"
"42","Newark, NJ","53.7","284874","3","25","91","33","32","3","1","53","34","100","37","92","97","94","90","93"
"43","Anchorage, AK","53.6","301199","40","100","64","46","16","100","42","18","48","1","38","31","28","71","71","50"
"44","Oakland, CA","53.3","416804","15","58","83","53","32","100","19","74","40","1","44","8","17","88","85","50"
